Sales_Order,Stage,Amount,Probability,Sales_Person,Company_Industry,Contact_Title,Type,Lead_Source,State,days_to_close
5741,Value Proposition,135000,40,Sarah Johnson,Hospitality,Operations Director,New Business,Trade Show,MT,156
5742,Qualification,225000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Industry Event,ND,143
5743,Closed Won,265000,100,Emma Wilson,Healthcare,Network Director,Upgrade,Existing Customer,NE,56
5744,Needs Analysis,385000,35,David Martinez,Manufacturing,Operations Director,New Business,Partner ReferralOPP-2024-0031,WA,141
5745,Decision Makers,285000,70,Sarah Johnson,Healthcare,Medical Director,New Business,Industry Event,KY,86
5746,Proposal/Price Quote,350000,65,Michael Chang,Transportation,Ticketing Director,New Business,RFP,OH,114
5747,Closed Won,115000,100,Emma Wilson,Financial Services,Security Officer,Upgrade,Existing Customer,ME,50
5748,Negotiation/Review,265000,80,David Martinez,Transportation,Logistics Director,New Business,Partner Referral,KY,86
5749,Perception Analysis,175000,15,Alex Rodriguez,Food & Beverage,Production Manager,New Business,Trade Show,NC,155
5750,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
5751,Qualification,85000,25,Michael Chang,Hospitality,IT Manager,New Business,Partner Referral,AR,128
5752,Closed Won,295000,100,Emma Wilson,Utilities,Operations Director,New Business,RFP,HI,76
5753,Needs Analysis,355000,30,David Martinez,Aviation,Maintenance Director,New Business,Industry Event,IA,123
5754,Closed Lost,145000,0,Alex Rodriguez,Hospitality,General Manager,New Business,Cold Call,ID,61
5755,Decision Makers,215000,75,Sarah Johnson,Healthcare,Analytics Director,New Business,Conference,ND,86
5756,Proposal/Price Quote,385000,60,Michael Chang,Government,Records Manager,New Business,RFP,ME,137
5757,Closed Won,72000,100,Emma Wilson,Retail,Executive Director,New Business,Industry Event,RI,34
5758,Negotiation/Review,325000,85,David Martinez,Manufacturing,Production Director,New Business,Trade Show,VT,86
5759,Perception Analysis,275000,20,Alex Rodriguez,Transportation,Terminal Manager,New Business,LinkedIn,FL,174
5760,Value Proposition,165000,40,Sarah Johnson,Education,Research Director,New Business,Conference,NY,143
5761,Qualification,195000,30,Michael Chang,Manufacturing,Supply Chain Manager,New Business,Partner Referral,CT,116
5762,Closed Won,135000,100,Emma Wilson,Healthcare,IT Director,New Business,Webinar,RI,70
5763,Needs Analysis,255000,35,David Martinez,Energy,Operations Manager,New Business,Industry Event,PA,128
5764,Closed Lost,95000,0,Alex Rodriguez,Financial Services,Relationship Director,Upgrade,Existing Customer,VT,44
5765,Decision Makers,245000,70,Sarah Johnson,Healthcare,Telehealth Director,New Business,Industry Event,VT,86
5766,Proposal/Price Quote,175000,65,Michael Chang,Education,Curriculum Director,New Business,Education Conference,AZ,106
5767,Closed Won,115000,100,Emma Wilson,Hospitality,General Manager,New Business,Referral,IA,35
5768,Negotiation/Review,265000,85,David Martinez,Financial Services,CTO,New Business,Webinar,MS,87
5769,Perception Analysis,320000,15,Alex Rodriguez,Government,Records Administrator,New Business,RFP,NM,184
5770,Value Proposition,125000,45,Sarah Johnson,Retail,Marketing Director,New Business,Trade Show,PA,148
5771,Qualification,185000,25,Michael Chang,Forestry,Operations Director,New Business,Industry Event,MS,133
5772,Closed Won,295000,100,Emma Wilson,Government,Health Director,New Business,RFP,OK,71
5773,Needs Analysis,235000,30,David Martinez,Energy,Facilities Manager,New Business,Partner ReferralOpportunity_ID,DE,133
5774,Needs Analysis,125000,30,Alex Rodriguez,Technology,IT Director,New Business,Trade Show,NJ,15
5775,Closed Won,85000,100,Sarah Johnson,Manufacturing,CIO,Renewal,Existing Customer,AK,34
5776,Proposal/Price Quote,210000,60,Michael Chang,Financial Services,COO,Upgrade,Referral,IN,61
5777,Qualification,75000,20,Emma Wilson,Retail,Operations Manager,New Business,Website,IL,61
5778,Negotiation/Review,320000,80,David Martinez,Healthcare,CTO,New Business,Partner Referral,WY,82
5779,Closed Lost,95000,0,Alex Rodriguez,Transportation,Project Manager,New Business,Conference,CA,80
5780,Closed Won,42000,100,Sarah Johnson,Education,IT Procurement,New Business,Email Campaign,MD,28
5781,Value Proposition,185000,40,Michael Chang,Construction,CEO,New Business,LinkedIn,IL,84
5782,Needs Analysis,230000,25,Emma Wilson,Food & Beverage,Supply Chain Director,New Business,Industry Event,SD,96
5783,Perception Analysis,155000,15,David Martinez,Hospitality,Guest Relations Director,New Business,Web Demo,WI,41
5784,Decision Makers,275000,70,Alex Rodriguez,Biotechnology,Lab Director,New Business,Trade Show,ND,97
5785,Negotiation/Review,110000,90,Sarah Johnson,Financial Services,Managing Partner,Renewal,Existing Customer,SC,35
5786,Proposal/Price Quote,195000,65,Michael Chang,Energy,Operations Director,New Business,Webinar,LA,101
5787,Closed Won,88000,100,Emma Wilson,Government,Urban Planning Director,New Business,RFP,WI,66
5788,Decision Makers,135000,75,David Martinez,Food & Beverage,Inventory Manager,New Business,Industry Event,IN,51
5789,Perception Analysis,215000,20,Alex Rodriguez,Insurance,Claims Director,New Business,Cold Call,MA,102
5790,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5791,Value Proposition,175000,45,Michael Chang,Hospitality,Property Manager,New Business,Partner Referral,RI,66
5792,Closed Won,65000,100,Emma Wilson,Retail,Retail Operations,New Business,Website,SD,33
5793,Needs Analysis,225000,30,David Martinez,Automotive,General Manager,New Business,Industry Event,CT,96
5794,Closed Lost,78000,0,Alex Rodriguez,Media,Production Manager,New Business,LinkedIn,OH,78
5795,Decision Makers,145000,70,Sarah Johnson,Sports,Performance Director,New Business,Trade Show,KS,76
5796,Proposal/Price Quote,235000,60,Michael Chang,Transportation,Operations Manager,New Business,Webinar,FL,96
5797,Closed Won,92000,100,Emma Wilson,Healthcare,Facilities Director,New Business,Referral,WV,35
5798,Negotiation/Review,310000,85,David Martinez,Financial Services,Digital Banking Director,Upgrade,Existing Customer,CO,87
5799,Perception Analysis,475000,25,Alex Rodriguez,Healthcare,Network Administrator,Upgrade,Industry Event,OR,148
5800,Value Proposition,115000,40,Sarah Johnson,Marketing,Account Director,New Business,Webinar,SC,102
5801,Qualification,95000,20,Michael Chang,Food & Beverage,Operations Director,Upgrade,Cold Call,CT,116
5802,Closed Won,68000,100,Emma Wilson,Non-profit,Exhibitions Director,New Business,Conference,NY,56
5803,Needs Analysis,185000,35,David Martinez,Agriculture,Executive Director,New Business,Trade Show,WA,112
5804,Qualification,75000,20,Emma Wilson,Retail,Operations Manager,New Business,Website,IL,61
5805,Decision Makers,195000,70,Sarah Johnson,Healthcare,Analytics Director,New Business,Healthcare Conference,MA,92
5806,Perception Analysis,215000,20,Alex Rodriguez,Insurance,Claims Director,New Business,Cold Call,MA,102
5807,Needs Analysis,275000,35,David Martinez,Transportation,Operations Director,New Business,Partner ReferralOPP-2024-0061,HI,143
5808,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
5809,Negotiation/Review,325000,85,David Martinez,Manufacturing,Quality Manager,New Business,Partner Referral,NV,92
5810,Decision Makers,175000,75,Sarah Johnson,Healthcare,IT Manager,New Business,Healthcare Conference,AR,87
5811,Negotiation/Review,320000,80,David Martinez,Healthcare,CTO,New Business,Partner Referral,WY,82
5812,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
5813,Proposal/Price Quote,350000,65,Michael Chang,Transportation,Ticketing Director,New Business,RFP,OH,114
5814,Negotiation/Review,325000,85,David Martinez,Manufacturing,Production Director,New Business,Trade Show,VT,86
5815,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
5816,Needs Analysis,225000,30,David Martinez,Automotive,General Manager,New Business,Industry Event,CT,96
5817,Decision Makers,135000,75,David Martinez,Food & Beverage,Inventory Manager,New Business,Industry Event,IN,51
5818,Needs Analysis,275000,35,David Martinez,Transportation,Operations Director,New Business,Partner ReferralOPP-2024-0061,HI,143
5819,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
5820,Negotiation/Review,110000,90,Sarah Johnson,Financial Services,Managing Partner,Renewal,Existing Customer,SC,35
5821,Decision Makers,175000,75,Sarah Johnson,Healthcare,IT Manager,New Business,Healthcare Conference,AR,87
5822,Needs Analysis,235000,30,David Martinez,Energy,Facilities Manager,New Business,Partner ReferralOpportunity_ID,DE,133
5823,Proposal/Price Quote,195000,65,Michael Chang,Energy,Operations Director,New Business,Webinar,LA,101
5824,Needs Analysis,255000,35,David Martinez,Energy,Operations Manager,New Business,Industry Event,PA,128
5825,Decision Makers,135000,75,David Martinez,Food & Beverage,Inventory Manager,New Business,Industry Event,IN,51
5826,Decision Makers,195000,70,Sarah Johnson,Healthcare,Analytics Director,New Business,Healthcare Conference,MA,92
5827,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5828,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5829,Value Proposition,125000,45,Sarah Johnson,Retail,Marketing Director,New Business,Trade Show,PA,148
5830,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5831,Proposal/Price Quote,210000,60,Michael Chang,Financial Services,COO,Upgrade,Referral,IN,61
5832,Needs Analysis,230000,25,Emma Wilson,Food & Beverage,Supply Chain Director,New Business,Industry Event,SD,96
5833,Needs Analysis,225000,30,David Martinez,Automotive,General Manager,New Business,Industry Event,CT,96
5834,Negotiation/Review,325000,85,David Martinez,Manufacturing,Quality Manager,New Business,Partner Referral,NV,92
5835,Proposal/Price Quote,210000,60,Michael Chang,Financial Services,COO,Upgrade,Referral,IN,61
5836,Needs Analysis,375000,30,David Martinez,Manufacturing,Operations Director,New Business,Industry EventOPP-2024-0081,SC,158
5837,Needs Analysis,275000,35,David Martinez,Transportation,Operations Director,New Business,Partner ReferralOPP-2024-0061,HI,143
5838,Perception Analysis,275000,20,Alex Rodriguez,Transportation,Terminal Manager,New Business,LinkedIn,FL,174
5839,Perception Analysis,295000,20,Alex Rodriguez,Insurance,Operations Director,New Business,Cold Call,MD,201
5840,Perception Analysis,345000,20,Alex Rodriguez,Utilities,Operations Director,New Business,RFP,OR,204
5841,Decision Makers,135000,75,David Martinez,Food & Beverage,Inventory Manager,New Business,Industry Event,IN,51
5842,Needs Analysis,295000,30,David Martinez,Hospitality,Operations Director,New Business,Industry EventOPP-2024-0071,VA,158
5843,Proposal/Price Quote,325000,60,Michael Chang,Education,Technology Director,New Business,Education Conference,CO,118
5844,Negotiation/Review,320000,80,David Martinez,Healthcare,CTO,New Business,Partner Referral,WY,82
5845,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
5846,Decision Makers,135000,75,David Martinez,Food & Beverage,Inventory Manager,New Business,Industry Event,IN,51
5847,Needs Analysis,185000,35,David Martinez,Agriculture,Executive Director,New Business,Trade Show,WA,112
5848,Proposal/Price Quote,175000,65,Michael Chang,Education,Curriculum Director,New Business,Education Conference,AZ,106
5849,Decision Makers,185000,75,Sarah Johnson,Healthcare,Patient Services Director,New Business,Healthcare Conference,MN,92
5850,Value Proposition,125000,45,Sarah Johnson,Retail,Marketing Director,New Business,Trade Show,PA,148
5851,Needs Analysis,355000,30,David Martinez,Aviation,Maintenance Director,New Business,Industry Event,IA,123
5852,Decision Makers,215000,75,Sarah Johnson,Healthcare,Analytics Director,New Business,Conference,ND,86
5853,Needs Analysis,125000,30,Alex Rodriguez,Technology,IT Director,New Business,Trade Show,NJ,15
5854,Perception Analysis,345000,20,Alex Rodriguez,Utilities,Operations Director,New Business,RFP,OR,204
5855,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
5856,Qualification,215000,25,Michael Chang,Automotive,General Manager,New Business,Cold Call,IL,143
5857,Value Proposition,185000,40,Michael Chang,Construction,CEO,New Business,LinkedIn,IL,84
5858,Perception Analysis,345000,20,Alex Rodriguez,Utilities,Operations Director,New Business,RFP,OR,204
5859,Value Proposition,185000,40,Michael Chang,Construction,CEO,New Business,LinkedIn,IL,84
5860,Value Proposition,175000,45,Michael Chang,Hospitality,Property Manager,New Business,Partner Referral,RI,66
5861,Perception Analysis,295000,20,Alex Rodriguez,Insurance,Operations Director,New Business,Cold Call,MD,201
5862,Proposal/Price Quote,175000,65,Michael Chang,Education,Curriculum Director,New Business,Education Conference,AZ,106
5863,Qualification,85000,25,Michael Chang,Hospitality,IT Manager,New Business,Partner Referral,AR,128
5864,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5865,Needs Analysis,295000,30,David Martinez,Hospitality,Operations Director,New Business,Industry EventOPP-2024-0071,VA,158
5866,Qualification,185000,25,Michael Chang,Forestry,Operations Director,New Business,Industry Event,MS,133
5867,Decision Makers,195000,70,Sarah Johnson,Healthcare,Analytics Director,New Business,Healthcare Conference,MA,92
5868,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5869,Value Proposition,165000,40,Sarah Johnson,Education,Research Director,New Business,Conference,NY,143
5870,Negotiation/Review,320000,80,David Martinez,Healthcare,CTO,New Business,Partner Referral,WY,82
5871,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
5872,Value Proposition,135000,40,Sarah Johnson,Hospitality,Operations Director,New Business,Trade Show,MT,156
5873,Decision Makers,135000,75,David Martinez,Food & Beverage,Inventory Manager,New Business,Industry Event,IN,51
5874,Qualification,195000,30,Michael Chang,Manufacturing,Supply Chain Manager,New Business,Partner Referral,CT,116
5875,Decision Makers,285000,70,Sarah Johnson,Healthcare,Medical Director,New Business,Industry Event,KY,86
5876,Decision Makers,195000,70,Sarah Johnson,Healthcare,Analytics Director,New Business,Healthcare Conference,MA,92
5877,Negotiation/Review,265000,85,David Martinez,Financial Services,CTO,New Business,Webinar,MS,87
5878,Decision Makers,145000,70,Sarah Johnson,Sports,Performance Director,New Business,Trade Show,KS,76
5879,Needs Analysis,185000,35,David Martinez,Agriculture,Executive Director,New Business,Trade Show,WA,112
5880,Proposal/Price Quote,325000,60,Michael Chang,Education,Technology Director,New Business,Education Conference,CO,118
5881,Decision Makers,315000,70,Sarah Johnson,Government,IT Director,New Business,RFP,MT,97
5882,Decision Makers,185000,75,Sarah Johnson,Healthcare,Patient Services Director,New Business,Healthcare Conference,MN,92
5883,Value Proposition,175000,45,Michael Chang,Hospitality,Property Manager,New Business,Partner Referral,RI,66
5884,Perception Analysis,285000,25,Alex Rodriguez,Government,Transportation Director,New Business,RFP,AL,203
5885,Decision Makers,185000,75,Sarah Johnson,Healthcare,Patient Services Director,New Business,Healthcare Conference,MN,92
5886,Needs Analysis,355000,30,David Martinez,Aviation,Maintenance Director,New Business,Industry Event,IA,123
5887,Needs Analysis,355000,30,David Martinez,Aviation,Maintenance Director,New Business,Industry Event,IA,123
5888,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
5889,Value Proposition,195000,45,Sarah Johnson,Education,IT Director,New Business,Education Conference,VT,158
5890,Qualification,195000,30,Michael Chang,Manufacturing,Supply Chain Manager,New Business,Partner Referral,CT,116
5891,Needs Analysis,385000,35,David Martinez,Manufacturing,Operations Director,New Business,Partner ReferralOPP-2024-0031,WA,141
5892,Needs Analysis,375000,30,David Martinez,Manufacturing,Operations Director,New Business,Industry EventOPP-2024-0081,SC,158
5893,Value Proposition,165000,40,Sarah Johnson,Hospitality,Reservations Manager,New Business,Trade Show,WV,158
5894,Qualification,85000,25,Michael Chang,Hospitality,IT Manager,New Business,Partner Referral,AR,128
5895,Value Proposition,420000,45,Sarah Johnson,Education,Technology Director,New Business,Email Campaign,MD,184
5896,Qualification,185000,25,Michael Chang,Forestry,Operations Director,New Business,Industry Event,MS,133
5897,Proposal/Price Quote,425000,60,Michael Chang,Education,IT Director,New Business,Education Conference,KS,118
5898,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5899,Proposal/Price Quote,385000,60,Michael Chang,Government,Records Manager,New Business,RFP,ME,137
5900,Proposal/Price Quote,175000,65,Michael Chang,Education,Curriculum Director,New Business,Education Conference,AZ,106
5901,Needs Analysis,355000,30,David Martinez,Aviation,Maintenance Director,New Business,Industry Event,IA,123
5902,Decision Makers,145000,70,Sarah Johnson,Sports,Performance Director,New Business,Trade Show,KS,76
5903,Value Proposition,125000,45,Sarah Johnson,Retail,Marketing Director,New Business,Trade Show,PA,148
5904,Negotiation/Review,325000,85,David Martinez,Manufacturing,Quality Manager,New Business,Partner Referral,NV,92
5905,Decision Makers,315000,70,Sarah Johnson,Government,IT Director,New Business,RFP,MT,97
5906,Value Proposition,195000,45,Sarah Johnson,Education,IT Director,New Business,Education Conference,VT,158
5907,Needs Analysis,295000,30,David Martinez,Hospitality,Operations Director,New Business,Industry EventOPP-2024-0071,VA,158
5908,Qualification,225000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Industry Event,ND,143
5909,Proposal/Price Quote,325000,60,Michael Chang,Education,Technology Director,New Business,Education Conference,CO,118
5910,Decision Makers,195000,70,Sarah Johnson,Healthcare,Analytics Director,New Business,Healthcare Conference,MA,92
5911,Needs Analysis,255000,35,David Martinez,Energy,Operations Manager,New Business,Industry Event,PA,128
5912,Proposal/Price Quote,210000,60,Michael Chang,Financial Services,COO,Upgrade,Referral,IN,61
5913,Value Proposition,175000,45,Michael Chang,Hospitality,Property Manager,New Business,Partner Referral,RI,66
5914,Qualification,75000,20,Emma Wilson,Retail,Operations Manager,New Business,Website,IL,61
5915,Perception Analysis,345000,20,Alex Rodriguez,Utilities,Operations Director,New Business,RFP,OR,204
5916,Proposal/Price Quote,425000,60,Michael Chang,Education,IT Director,New Business,Education Conference,KS,118
5917,Decision Makers,195000,70,Sarah Johnson,Healthcare,Analytics Director,New Business,Healthcare Conference,MA,92
5918,Decision Makers,245000,70,Sarah Johnson,Healthcare,Telehealth Director,New Business,Industry Event,VT,86
5919,Decision Makers,285000,70,Sarah Johnson,Healthcare,Medical Director,New Business,Industry Event,KY,86
5920,Decision Makers,215000,75,Sarah Johnson,Healthcare,Analytics Director,New Business,Conference,ND,86
5921,Qualification,245000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Partner Referral,MI,148
5922,Perception Analysis,175000,15,Alex Rodriguez,Food & Beverage,Production Manager,New Business,Trade Show,NC,155
5923,Needs Analysis,185000,35,David Martinez,Agriculture,Executive Director,New Business,Trade Show,WA,112
5924,Proposal/Price Quote,195000,65,Michael Chang,Energy,Operations Director,New Business,Webinar,LA,101
5925,Needs Analysis,385000,35,David Martinez,Manufacturing,Operations Director,New Business,Partner ReferralOPP-2024-0031,WA,141
5926,Proposal/Price Quote,235000,60,Michael Chang,Transportation,Operations Manager,New Business,Webinar,FL,96
5927,Needs Analysis,255000,35,David Martinez,Energy,Operations Manager,New Business,Industry Event,PA,128
5928,Negotiation/Review,265000,85,David Martinez,Financial Services,CTO,New Business,Webinar,MS,87
5929,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5930,Decision Makers,275000,70,Alex Rodriguez,Biotechnology,Lab Director,New Business,Trade Show,ND,97
5931,Qualification,215000,25,Michael Chang,Automotive,General Manager,New Business,Cold Call,IL,143
5932,Needs Analysis,385000,35,David Martinez,Manufacturing,Operations Director,New Business,Partner ReferralOPP-2024-0031,WA,141
5933,Needs Analysis,385000,35,David Martinez,Manufacturing,Operations Director,New Business,Partner ReferralOPP-2024-0031,WA,141
5934,Proposal/Price Quote,175000,65,Michael Chang,Education,Curriculum Director,New Business,Education Conference,AZ,106
5935,Proposal/Price Quote,350000,65,Michael Chang,Transportation,Ticketing Director,New Business,RFP,OH,114
5936,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5937,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5938,Decision Makers,315000,70,Sarah Johnson,Government,IT Director,New Business,RFP,MT,97
5939,Qualification,225000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Industry Event,ND,143
5940,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5941,Negotiation/Review,325000,85,David Martinez,Manufacturing,Quality Manager,New Business,Partner Referral,NV,92
5942,Qualification,95000,20,Michael Chang,Food & Beverage,Operations Director,Upgrade,Cold Call,CT,116
5943,Qualification,225000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Industry Event,ND,143
5944,Proposal/Price Quote,325000,60,Michael Chang,Education,Technology Director,New Business,Education Conference,CO,118
5945,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5946,Proposal/Price Quote,385000,60,Michael Chang,Government,Records Manager,New Business,RFP,ME,137
5947,Proposal/Price Quote,210000,60,Michael Chang,Financial Services,COO,Upgrade,Referral,IN,61
5948,Proposal/Price Quote,175000,65,Michael Chang,Education,Curriculum Director,New Business,Education Conference,AZ,106
5949,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
5950,Proposal/Price Quote,195000,65,Michael Chang,Energy,Operations Director,New Business,Webinar,LA,101
5951,Perception Analysis,175000,15,Alex Rodriguez,Food & Beverage,Production Manager,New Business,Trade Show,NC,155
5952,Qualification,75000,20,Emma Wilson,Retail,Operations Manager,New Business,Website,IL,61
5953,Qualification,320000,35,Sarah Johnson,Education,IT Director,New Business,Referral,NE,131
5954,Negotiation/Review,110000,90,Sarah Johnson,Financial Services,Managing Partner,Renewal,Existing Customer,SC,35
5955,Qualification,75000,20,Emma Wilson,Retail,Operations Manager,New Business,Website,IL,61
5956,Value Proposition,165000,40,Sarah Johnson,Hospitality,Reservations Manager,New Business,Trade Show,WV,158
5957,Perception Analysis,275000,20,Alex Rodriguez,Transportation,Terminal Manager,New Business,LinkedIn,FL,174
5958,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
5959,Negotiation/Review,325000,85,David Martinez,Manufacturing,Quality Manager,New Business,Partner Referral,NV,92
5960,Perception Analysis,155000,15,David Martinez,Hospitality,Guest Relations Director,New Business,Web Demo,WI,41
5961,Proposal/Price Quote,195000,65,Michael Chang,Energy,Operations Director,New Business,Webinar,LA,101
5962,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
5963,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
5964,Value Proposition,185000,40,Michael Chang,Construction,CEO,New Business,LinkedIn,IL,84
5965,Decision Makers,315000,70,Sarah Johnson,Government,IT Director,New Business,RFP,MT,97
5966,Value Proposition,155000,45,Sarah Johnson,Food & Beverage,Operations Manager,New Business,Industry Event,WI,164
5967,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
5968,Negotiation/Review,320000,80,David Martinez,Healthcare,CTO,New Business,Partner Referral,WY,82
5969,Proposal/Price Quote,175000,65,Michael Chang,Education,Curriculum Director,New Business,Education Conference,AZ,106
5970,Perception Analysis,175000,15,Alex Rodriguez,Food & Beverage,Production Manager,New Business,Trade Show,NC,155
5971,Qualification,95000,20,Michael Chang,Food & Beverage,Operations Director,Upgrade,Cold Call,CT,116
5972,Perception Analysis,175000,15,Alex Rodriguez,Food & Beverage,Production Manager,New Business,Trade Show,NC,155
5973,Perception Analysis,475000,25,Alex Rodriguez,Healthcare,Network Administrator,Upgrade,Industry Event,OR,148
5974,Needs Analysis,230000,25,Emma Wilson,Food & Beverage,Supply Chain Director,New Business,Industry Event,SD,96
5975,Perception Analysis,155000,15,David Martinez,Hospitality,Guest Relations Director,New Business,Web Demo,WI,41
5976,Negotiation/Review,235000,80,David Martinez,Manufacturing,Quality Director,New Business,Trade Show,FL,81
5977,Negotiation/Review,325000,85,David Martinez,Manufacturing,Production Director,New Business,Trade Show,VT,86
5978,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
5979,Value Proposition,115000,40,Sarah Johnson,Marketing,Account Director,New Business,Webinar,SC,102
5980,Qualification,95000,20,Michael Chang,Food & Beverage,Operations Director,Upgrade,Cold Call,CT,116
